lat,lon,start_date
27.0,138.0,20240101
27.0,139.0,20240101
27.0,140.0,20240101
27.0,141.0,20240101
27.0,142.0,20240101
27.0,143.0,20240101
27.0,144.0,20240101
27.0,145.0,20240101
27.0,146.0,20240101
28.0,122.0,20240101
28.0,123.0,20240101
28.0,124.0,20240101
28.0,125.0,20240101
28.0,126.0,20240101
28.0,127.0,20240101
28.0,128.0,20240101
28.0,129.0,20240101
28.0,130.0,20240101
28.0,131.0,20240101
28.0,132.0,20240101
28.0,133.0,20240101
28.0,134.0,20240101
28.0,135.0,20240101
28.0,136.0,20240101
28.0,137.0,20240101
28.0,138.0,20240101
28.0,139.0,20240101
28.0,140.0,20240101
28.0,141.0,20240101
28.0,142.0,20240101
28.0,143.0,20240101
28.0,144.0,20240101
28.0,145.0,20240101
28.0,146.0,20240101
29.0,122.0,20240101
29.0,123.0,20240101
29.0,124.0,20240101
29.0,125.0,20240101
29.0,126.0,20240101
29.0,127.0,20240101
29.0,128.0,20240101
29.0,129.0,20240101
29.0,130.0,20240101
29.0,131.0,20240101
29.0,132.0,20240101
29.0,133.0,20240101
29.0,134.0,20240101
29.0,135.0,20240101
29.0,136.0,20240101
29.0,137.0,20240101
29.0,138.0,20240101
29.0,139.0,20240101
29.0,140.0,20240101
29.0,141.0,20240101
29.0,142.0,20240101
29.0,143.0,20240101
29.0,144.0,20240101
29.0,145.0,20240101
29.0,146.0,20240101
30.0,122.0,20240101
30.0,123.0,20240101
30.0,124.0,20240101
30.0,125.0,20240101
30.0,126.0,20240101
30.0,127.0,20240101
30.0,128.0,20240101
30.0,129.0,20240101
30.0,130.0,20240101
30.0,131.0,20240101
30.0,132.0,20240101
30.0,133.0,20240101
30.0,134.0,20240101
30.0,135.0,20240101
30.0,136.0,20240101
30.0,137.0,20240101
30.0,138.0,20240101
30.0,139.0,20240101
30.0,140.0,20240101
30.0,141.0,20240101
30.0,142.0,20240101
30.0,143.0,20240101
30.0,144.0,20240101
30.0,145.0,20240101
30.0,146.0,20240101
31.0,122.0,20240101
31.0,123.0,20240101
31.0,124.0,20240101
31.0,125.0,20240101
31.0,126.0,20240101
31.0,127.0,20240101
31.0,128.0,20240101
31.0,129.0,20240101
31.0,130.0,20240101
31.0,131.0,20240101
31.0,132.0,20240101
31.0,133.0,20240101
31.0,134.0,20240101
31.0,135.0,20240101
31.0,136.0,20240101
31.0,137.0,20240101
31.0,138.0,20240101
31.0,139.0,20240101
31.0,140.0,20240101
31.0,141.0,20240101
31.0,142.0,20240101
31.0,143.0,20240101
31.0,144.0,20240101
31.0,145.0,20240101
31.0,146.0,20240101
32.0,122.0,20240101
32.0,123.0,20240101
32.0,124.0,20240101
32.0,125.0,20240101
32.0,126.0,20240101
32.0,127.0,20240101
32.0,128.0,20240101
32.0,129.0,20240101
32.0,130.0,20240101
32.0,131.0,20240101
32.0,132.0,20240101
32.0,133.0,20240101
32.0,134.0,20240101
32.0,135.0,20240101
32.0,136.0,20240101
32.0,137.0,20240101
32.0,138.0,20240101
32.0,139.0,20240101
32.0,140.0,20240101
32.0,141.0,20240101
32.0,142.0,20240101
32.0,143.0,20240101
32.0,144.0,20240101
32.0,145.0,20240101
32.0,146.0,20240101
33.0,122.0,20240101
33.0,123.0,20240101
33.0,124.0,20240101
33.0,125.0,20240101
33.0,126.0,20240101
33.0,127.0,20240101
33.0,128.0,20240101
33.0,129.0,20240101
33.0,130.0,20240101
33.0,131.0,20240101
33.0,132.0,20240101
33.0,133.0,20240101
33.0,134.0,20240101
33.0,135.0,20240101
33.0,136.0,20240101
33.0,137.0,20240101
33.0,138.0,20240101
33.0,139.0,20240101
33.0,140.0,20240101
33.0,141.0,20240101
33.0,142.0,20240101
33.0,143.0,20240101
33.0,144.0,20240101
33.0,145.0,20240101
33.0,146.0,20240101
34.0,122.0,20240101
34.0,123.0,20240101
34.0,124.0,20240101
34.0,125.0,20240101
34.0,126.0,20240101
34.0,127.0,20240101
34.0,128.0,20240101
34.0,129.0,20240101
34.0,130.0,20240101
34.0,131.0,20240101
34.0,132.0,20240101
34.0,133.0,20240101
34.0,134.0,20240101
34.0,135.0,20240101
34.0,136.0,20240101
34.0,137.0,20240101
34.0,138.0,20240101
34.0,139.0,20240101
34.0,140.0,20240101
34.0,141.0,20240101
34.0,142.0,20240101
34.0,143.0,20240101
34.0,144.0,20240101
34.0,145.0,20240101
34.0,146.0,20240101
35.0,122.0,20240101
35.0,123.0,20240101
35.0,124.0,20240101
35.0,125.0,20240101
35.0,126.0,20240101
35.0,127.0,20240101
35.0,128.0,20240101
35.0,129.0,20240101
35.0,130.0,20240101
35.0,131.0,20240101
35.0,132.0,20240101
35.0,133.0,20240101
