lat,lon,cum_gdd
29.0,134.0,1527.7900000000004
29.0,135.0,1526.0500000000006
29.0,136.0,1517.8899999999999
29.0,137.0,1519.8500000000006
29.0,138.0,1528.5300000000002
29.0,139.0,1523.7500000000007
29.0,140.0,1495.0700000000002
29.0,141.0,1494.2399999999996
29.0,142.0,1499.4800000000002
29.0,143.0,1517.7499999999993
29.0,144.0,1524.600000000001
29.0,145.0,1522.4500000000007
29.0,146.0,1529.6599999999996
30.0,122.0,562.6800000000001
30.0,123.0,601.54
30.0,124.0,693.92
30.0,125.0,769.9099999999997
30.0,126.0,951.0199999999999
30.0,127.0,1092.7800000000007
30.0,128.0,1393.02
30.0,129.0,1474.4699999999998
30.0,130.0,1478.9400000000007
30.0,131.0,1469.2800000000004
30.0,132.0,1469.5399999999995
30.0,133.0,1444.8400000000001
30.0,134.0,1434.8999999999992
30.0,135.0,1445.4300000000003
30.0,136.0,1455.1900000000005
30.0,137.0,1453.1799999999994
30.0,138.0,1444.71
30.0,139.0,1436.9200000000008
30.0,140.0,1406.7799999999997
30.0,141.0,1398.94
30.0,142.0,1395.5199999999995
30.0,143.0,1398.4299999999998
30.0,144.0,1410.31
30.0,145.0,1400.4200000000003
30.0,146.0,1406.2199999999996
31.0,122.0,530.9899999999999
31.0,123.0,489.93000000000006
31.0,124.0,514.1600000000002
31.0,125.0,542.0300000000001
31.0,126.0,783.4799999999998
31.0,127.0,924.9199999999997
31.0,128.0,1154.37
31.0,129.0,1189.99
31.0,130.0,1189.75
31.0,131.0,1187.3
31.0,132.0,1322.6699999999998
31.0,133.0,1365.0899999999995
31.0,134.0,1350.3000000000004
31.0,135.0,1362.9499999999998
31.0,136.0,1353.1600000000008
31.0,137.0,1342.71
31.0,138.0,1330.0299999999995
31.0,139.0,1351.0800000000008
31.0,140.0,1339.4100000000003
31.0,141.0,1324.6199999999997
31.0,142.0,1305.7200000000007
31.0,143.0,1300.2299999999998
31.0,144.0,1292.260000000001
31.0,145.0,1270.7400000000002
31.0,146.0,1274.0700000000004
32.0,122.0,403.8799999999999
32.0,123.0,362.9400000000001
32.0,124.0,353.33
32.0,125.0,430.8
32.0,126.0,719.5400000000002
32.0,127.0,857.0099999999999
32.0,128.0,962.92
32.0,129.0,965.1399999999998
32.0,130.0,846.51
32.0,131.0,571.4599999999998
32.0,132.0,1094.4000000000005
32.0,133.0,1247.6299999999999
32.0,134.0,1267.5500000000002
32.0,135.0,1245.2800000000002
32.0,136.0,1108.14
32.0,137.0,1075.3500000000004
32.0,138.0,1171.9100000000003
32.0,139.0,1245.48
32.0,140.0,1278.480000000001
32.0,141.0,1267.2600000000007
32.0,142.0,1243.3600000000006
32.0,143.0,1207.1599999999999
32.0,144.0,1182.6899999999994
32.0,145.0,1144.44
32.0,146.0,1157.0300000000004
33.0,122.0,304.9900000000001
33.0,123.0,306.56000000000006
33.0,124.0,348.22
33.0,125.0,493.8
33.0,126.0,618.4599999999998
33.0,127.0,739.7000000000002
33.0,128.0,783.3299999999999
33.0,129.0,735.5499999999998
33.0,130.0,551.72
33.0,131.0,367.4399999999999
33.0,132.0,560.94
33.0,133.0,699.9300000000003
33.0,134.0,962.4100000000002
33.0,135.0,945.5999999999999
33.0,136.0,921.7600000000004
33.0,137.0,915.6700000000001
33.0,138.0,1021.8699999999997
33.0,139.0,1143.8800000000006
33.0,140.0,1197.2900000000002
33.0,141.0,1171.1800000000005
33.0,142.0,1137.6699999999994
33.0,143.0,1108.6999999999998
33.0,144.0,1085.13
33.0,145.0,1037.18
33.0,146.0,1033.44
34.0,122.0,264.55
34.0,123.0,315.48
34.0,124.0,364.7799999999999
34.0,125.0,391.87
34.0,126.0,434.00999999999976
34.0,127.0,485.85
34.0,128.0,597.95
34.0,129.0,634.1199999999998
34.0,130.0,618.5299999999999
34.0,131.0,468.19
34.0,132.0,445.90000000000003
34.0,133.0,431.69
34.0,134.0,404.7499999999999
34.0,135.0,520.23
34.0,136.0,492.38
34.0,137.0,742.8700000000002
34.0,138.0,913.7600000000006
34.0,139.0,1004.6400000000002
34.0,140.0,1099.11
34.0,141.0,1071.8300000000002
34.0,142.0,1038.6599999999999
34.0,143.0,986.1699999999998
34.0,144.0,950.3000000000001
34.0,145.0,960.9499999999996
34.0,146.0,932.7099999999999
35.0,122.0,245.1800000000001
35.0,123.0,286.41
35.0,124.0,299.58
35.0,125.0,280.73
35.0,126.0,342.48000000000013
35.0,127.0,369.66999999999996
35.0,128.0,407.12
35.0,129.0,410.19
35.0,130.0,546.05
35.0,131.0,542.2
35.0,132.0,468.96000000000004
35.0,133.0,288.56
35.0,134.0,292.52
35.0,135.0,357.93
35.0,136.0,339.27000000000004
35.0,137.0,476.7699999999998
35.0,138.0,332.86999999999995
35.0,139.0,495.03999999999996
35.0,140.0,630.48
35.0,141.0,955.99
35.0,142.0,947.7099999999999
35.0,143.0,884.3699999999998
35.0,144.0,854.5999999999997
35.0,145.0,843.2200000000004
35.0,146.0,826.7900000000001
36.0,122.0,236.26999999999998
36.0,123.0,221.7199999999999
36.0,124.0,226.29999999999998
36.0,125.0,234.41999999999993
36.0,126.0,235.48000000000002
36.0,127.0,375.76
36.0,128.0,310.46999999999986
36.0,129.0,324.04
36.0,130.0,454.78
36.0,131.0,455.1600000000002
36.0,132.0,456.4
36.0,133.0,444.72999999999985
36.0,134.0,424.2700000000001
